dataset_id,sport,task,split,image_id,image_path,mask_path,image_sha256,mask_sha256,width,height,n_classes,label_schema
tennis_fullcourt,tennis,full_court_segmentation,train,001.png,data/tennis_fullcourt/images/train/001.png,data/tennis_fullcourt/masks/train/001.png,4b388cbe4984ab8459bb82b09aad84a691744be9298a494aaf899a297e75d594,25ee4e31ff0be2c17225f538e9f6bd02f3771682c436866947b216c99dac9b2e,1920,1080,2,background=0;full_court=1
tennis_fullcourt,tennis,full_court_segmentation,train,002.png,data/tennis_fullcourt/images/train/002.png,data/tennis_fullcourt/masks/train/002.png,9c130889f7953172888444a55a4d001d6dc4eeb5ea324faf8855beb935ef8c42,25ee4e31ff0be2c17225f538e9f6bd02f3771682c436866947b216c99dac9b2e,1920,1080,2,background=0;full_court=1
tennis_fullcourt,tennis,full_court_segmentation,train,003.png,data/tennis_fullcourt/images/train/003.png,data/tennis_fullcourt/masks/train/003.png,c67f6700ed905b34285a60f6a8a492dbc9773c21332f034a965aede489ca7e0b,42f00731278d2e38832a38e942212c1e4065b32d25f96b20f9ceb9d2bbd2f3f5,1920,1080,2,background=0;full_court=1
tennis_fullcourt,tennis,full_court_segmentation,train,004.png,data/tennis_fullcourt/images/train/004.png,data/tennis_fullcourt/masks/train/004.png,0eb177c6ca478add929d371f1c52da0b3117d35288eee2bd46ecf0127b1646ea,42f00731278d2e38832a38e942212c1e4065b32d25f96b20f9ceb9d2bbd2f3f5,1920,1080,2,background=0;full_court=1
tennis_fullcourt,tennis,full_court_segmentation,train,005.png,data/tennis_fullcourt/images/train/005.png,data/tennis_fullcourt/masks/train/005.png,cbec26a2480538656bbbd0ee3a81898e11882308de39b9397b2bdefbe3ac632f,f715de41a9f268974755b7d40202b933110e9c8d5efd4788fba2fec7e463f562,1920,1080,2,background=0;full_court=1
tennis_fullcourt,tennis,full_court_segmentation,train,006.png,data/tennis_fullcourt/images/train/006.png,data/tennis_fullcourt/masks/train/006.png,2af69249abb9389f5510fc26c018f86e06382b6028ad0e7dd67303c23ae16244,deda83a804e856a0bd18b7d34524ec729e9018be662103e44c80bbfe70b71359,1920,1080,2,background=0;full_court=1
tennis_fullcourt,tennis,full_court_segmentation,train,007.png,data/tennis_fullcourt/images/train/007.png,data/tennis_fullcourt/masks/train/007.png,ee2225314e3be8eff0cd73b6b23cf6db809209c8d3a0eeedd7eb43be162e0b23,731c10f1b1cf8979f29f3369aedc3d8f1266cb32a6ade9292c7b23e1d01a3ab8,1920,1080,2,background=0;full_court=1
tennis_fullcourt,tennis,full_court_segmentation,train,008.png,data/tennis_fullcourt/images/train/008.png,data/tennis_fullcourt/masks/train/008.png,8f1a9121479a60d13d99a4afdad5517fe0f5f61263e804f9ff8eba3bda68340e,0b0b5d2c4a491bf36e865ddb76c09c3db96850bfd706a551edb71448726ebcdd,1920,1080,2,background=0;full_court=1
tennis_fullcourt,tennis,full_court_segmentation,train,009.png,data/tennis_fullcourt/images/train/009.png,data/tennis_fullcourt/masks/train/009.png,4594a8bc9324628a8ed50b01cfd4fdd0a72034a7078c61aee2614cf68bc2331d,5bb325851cb3a7dd0c9bcb37a0152ca6769987c7ae440c404cb22e6e52f25869,1920,1080,2,background=0;full_court=1
tennis_fullcourt,tennis,full_court_segmentation,train,010.png,data/tennis_fullcourt/images/train/010.png,data/tennis_fullcourt/masks/train/010.png,a47a0330741a87c7b170f29bbfc03a3e6f61113d6b984211aceda750a649c7cf,669dbcf7c14caac9e84c90f23f419aeb659cd468c4d6d6d8d011d5307a77952b,1920,1080,2,background=0;full_court=1
