dataset_id,sport,task,split,image_id,image_path,mask_path,image_sha256,mask_sha256,width,height,n_classes,label_schema
badminton_zones,badminton,court_zone_segmentation,train,870.png,data/badminton_zones/images/train/870.png,data/badminton_zones/masks/train/870.png,6105e16e0558f467f5897ad45b7e27898c30d5c920620d0343474e157af5f2e2,fbf2a55a1288cbb8da1d03b688298f3d41fb1fe046abb5021ee49fe3f22ba6ba,1920,1080,14,0=background;1=fl_doubles;2=fl_service;3=fs_singles;4=fr_singles;5=fr_service;6=fr_doubles;7=central_zone;8=bl_doubles;9=bl_service;10=bl_singles;11=br_service;12=br_singles;13=br_doubles
badminton_zones,badminton,court_zone_segmentation,train,935.png,data/badminton_zones/images/train/935.png,data/badminton_zones/masks/train/935.png,0266594b90ce4729ff435f8fa2d2ecbecbbf4e27cd09649359ff9dfa51d4b909,5797d59c47d743dac98206945c8bff898061b42a7c232632af37b3c1b1c9c8c1,1920,1080,14,0=background;1=fl_doubles;2=fl_service;3=fs_singles;4=fr_singles;5=fr_service;6=fr_doubles;7=central_zone;8=bl_doubles;9=bl_service;10=bl_singles;11=br_service;12=br_singles;13=br_doubles
badminton_zones,badminton,court_zone_segmentation,train,327.png,data/badminton_zones/images/train/327.png,data/badminton_zones/masks/train/327.png,506a1f29faef8cc3d9c905667cc600cf8a6e510ff4e5392042bc9dc19c368047,5797d59c47d743dac98206945c8bff898061b42a7c232632af37b3c1b1c9c8c1,1920,1080,14,0=background;1=fl_doubles;2=fl_service;3=fs_singles;4=fr_singles;5=fr_service;6=fr_doubles;7=central_zone;8=bl_doubles;9=bl_service;10=bl_singles;11=br_service;12=br_singles;13=br_doubles
badminton_zones,badminton,court_zone_segmentation,train,244.png,data/badminton_zones/images/train/244.png,data/badminton_zones/masks/train/244.png,5381fd37042e22f60a24796029adcc20ec2d78e6a5afab44527837a3e111f524,1678324581faafbb7ab576435f5e9008edecd2528c2665cbd566b0af04bbdc47,1920,1080,14,0=background;1=fl_doubles;2=fl_service;3=fs_singles;4=fr_singles;5=fr_service;6=fr_doubles;7=central_zone;8=bl_doubles;9=bl_service;10=bl_singles;11=br_service;12=br_singles;13=br_doubles
badminton_zones,badminton,court_zone_segmentation,train,156.png,data/badminton_zones/images/train/156.png,data/badminton_zones/masks/train/156.png,a41debf33a0643c86e13198a8224a9d73cdcf89b17e8ec0905357faebfeba740,05aff27316ecd25aa5d2b146ce76b489e644e744e8f1afa78675cbbbebaafc51,1920,1080,14,0=background;1=fl_doubles;2=fl_service;3=fs_singles;4=fr_singles;5=fr_service;6=fr_doubles;7=central_zone;8=bl_doubles;9=bl_service;10=bl_singles;11=br_service;12=br_singles;13=br_doubles
badminton_zones,badminton,court_zone_segmentation,train,1007.png,data/badminton_zones/images/train/1007.png,data/badminton_zones/masks/train/1007.png,c6f798f9f1ea5cd29f86925362317679f595cdeb859c84c7619715991b4a2b93,46692f9efbb09991f6567f8927be0fa47b99138ecadc27d093b8983c096d89b9,1920,1080,14,0=background;1=fl_doubles;2=fl_service;3=fs_singles;4=fr_singles;5=fr_service;6=fr_doubles;7=central_zone;8=bl_doubles;9=bl_service;10=bl_singles;11=br_service;12=br_singles;13=br_doubles
badminton_zones,badminton,court_zone_segmentation,train,1210.png,data/badminton_zones/images/train/1210.png,data/badminton_zones/masks/train/1210.png,c1a790789678bed917f26415b6f0165f3ca0757ed99d4d6ff1f7c7ebc8c2592f,afaec54053472401e2da7525b34b8233c97a110a6cf8dbca3bbbdbf908ee31df,1280,720,14,0=background;1=fl_doubles;2=fl_service;3=fs_singles;4=fr_singles;5=fr_service;6=fr_doubles;7=central_zone;8=bl_doubles;9=bl_service;10=bl_singles;11=br_service;12=br_singles;13=br_doubles
badminton_zones,badminton,court_zone_segmentation,train,18.png,data/badminton_zones/images/train/18.png,data/badminton_zones/masks/train/18.png,1dd05eaefd1d4b4d0707c92261aa31584e4b7133faf8271688416c85489c2273,89cd29c8557fb4188631183e8a86bb0ddd308f0d4e615ef8afba19edf65da59c,1920,1080,14,0=background;1=fl_doubles;2=fl_service;3=fs_singles;4=fr_singles;5=fr_service;6=fr_doubles;7=central_zone;8=bl_doubles;9=bl_service;10=bl_singles;11=br_service;12=br_singles;13=br_doubles
badminton_zones,badminton,court_zone_segmentation,train,636.png,data/badminton_zones/images/train/636.png,data/badminton_zones/masks/train/636.png,4e9e346980e88b8cc1cd72fa1d0ed95af3c200309f0f4431c9a50000a0e86f7e,5797d59c47d743dac98206945c8bff898061b42a7c232632af37b3c1b1c9c8c1,1280,720,14,0=background;1=fl_doubles;2=fl_service;3=fs_singles;4=fr_singles;5=fr_service;6=fr_doubles;7=central_zone;8=bl_doubles;9=bl_service;10=bl_singles;11=br_service;12=br_singles;13=br_doubles
badminton_zones,badminton,court_zone_segmentation,train,569.png,data/badminton_zones/images/train/569.png,data/badminton_zones/masks/train/569.png,709902d99b0699619e5c1ac95009e9ed022cca42612c452adb65df125fc34ba0,70e1a442f5261219e46ae45ecb6788a0a2865c6afc6453bf8479539e883e1922,1920,1080,14,0=background;1=fl_doubles;2=fl_service;3=fs_singles;4=fr_singles;5=fr_service;6=fr_doubles;7=central_zone;8=bl_doubles;9=bl_service;10=bl_singles;11=br_service;12=br_singles;13=br_doubles
badminton_zones,badminton,court_zone_segmentation,train,294.png,data/badminton_zones/images/train/294.png,data/badminton_zones/masks/train/294.png,834c5b9834c7d645bb297c7bdbdbd5201d84138e08cc2f5c478d7d87056e91f3,601d27e278b8e6335aba882d89712a3a1c6220f90849651aa2dcb783e536c2fe,1920,1080,14,0=background;1=fl_doubles;2=fl_service;3=fs_singles;4=fr_singles;5=fr_service;6=fr_doubles;7=central_zone;8=bl_doubles;9=bl_service;10=bl_singles;11=br_service;12=br_singles;13=br_doubles
